"Screen_Tech","Labelled energy consumption (kWh/year)","screensize_inch"
"LCD (LED)",58,16
"LCD (LED)",58,16
"LCD (LED)",56,16
"LCD (LED)",60,18
"LCD (LED)",75,19
"LCD (LED)",75,19
"LCD (LED)",61,19
"LCD (LED)",62,19
"LCD (LED)",62,19
"LCD (LED)",62,19
"LCD (LED)",60,19
"LCD (LED)",67,19
"LCD (LED)",62,19
"LCD",62,19
"LCD",73,19
"LCD (LED)",58,19
"LCD (LED)",58,19
"LCD",56,19
"LCD",81,19
"LCD",106,21
"LCD (LED)",68,21
"LCD (LED)",76,22
"LCD (LED)",93,22
"LCD (LED)",102,22
"LCD",95,22
"LCD (LED)",78,22
"LCD (LED)",65,23
"LCD",90,23
"LCD",90,23
"LCD (LED)",68,24
"LCD (LED)",110,24
"LCD (LED)",76,24
"LCD",100,24
"LCD (LED)",77,24
"LCD (LED)",67,24
"LCD (LED)",70,24
"LCD",85,24
"LCD (LED)",68,24
"LCD",85,24
"LCD (LED)",68,24
"LCD (LED)",70,24
"LCD (LED)",70,24
"LCD (LED)",84,24
"LCD (LED)",85,24
"LCD (LED)",78,24
"LCD (LED)",95,24
"LCD",87,24
"LCD (LED)",107,24
"LCD",84,24
"LCD",84,24
"LCD",82,24
"LCD (LED)",90,24
"LCD (LED)",91,24
"LCD (LED)",68,24
"LCD (LED)",68,24
"LCD (LED)",82,24
"LCD (LED)",83,24
"LCD",67,24
"LCD (LED)",70,24
"LCD (LED)",68,24
"LCD (LED)",70,24
"LCD (LED)",100,24
"LCD",53,24
"LCD",120,24
"LCD (LED)",105,24
"LCD (LED)",105,24
"LCD",112,24
"LCD (LED)",90,24
"LCD (LED)",108,24
"LCD (LED)",102,24
"LCD (LED)",83,24
"LCD (LED)",66,24
"LCD",66,24
"LCD (LED)",84,24
"LCD (LED)",61,24
"LCD (LED)",70,24
"LCD (LED)",79,24
"LCD (LED)",96,24
"LCD",90,24
"LCD (LED)",70,24
"LCD (LED)",78,24
"LCD (LED)",95,24
"LCD",78,24
"LCD",78,24
"LCD",78,24
"LCD (LED)",82,24
"LCD (LED)",60,24
"LCD (LED)",110,24
"LCD",66,24
"LCD (LED)",96,24
"LCD (LED)",65,24
"LCD (LED)",110,24
"LCD (LED)",67,24
"LCD",76,24
"LCD",91,24
"LCD",94,24
"LCD",83,24
"LCD",94,24
"LCD",107,24
"LCD (LED)",76,24
"LCD (LED)",67,24
"LCD (LED)",82,24
"LCD",107,24
"LCD",66,24
"LCD (LED)",105,24
"LCD (LED)",74,24
"LCD (LED)",106,24
"LCD (LED)",95,24
"LCD (LED)",69,24
"LCD (LED)",76,24
"LCD",68,24
"LCD",68,24
"LCD (LED)",78,24
"LCD",68,24
"LCD (LED)",76,24
"LCD (LED)",59,24
"LCD (LED)",85,24
"LCD",81,24
"LCD (LED)",59,24
"LCD",83,24
"LCD",83,24
"LCD (LED)",88,24
"LCD (LED)",94,24
"LCD",81,24
"LCD",94,24
"LCD (LED)",83,24
"LCD (LED)",158,27
"LCD",59,27
"LCD (LED)",92,27
"LCD (LED)",158,30
"LCD (LED)",104,31
"LCD (LED)",104,31
"LCD (LED)",104,31
"LCD (LED)",104,31
"LCD",130,31
"LCD (LED)",104,31
"LCD (LED)",145,31
"LCD (LED)",131,31
"LCD",130,31
"LCD (LED)",110,31
"LCD (LED)",110,31
"LCD (LED)",112,31
"LCD (LED)",104,31
"LCD (LED)",160,31
"LCD (LED)",104,31
"LCD (LED)",104,31
"LCD (LED)",99,31
"LCD (LED)",104,31
"LCD (LED)",110,31
"LCD (LED)",116,31
"LCD (LED)",110,31
"LCD (LED)",130,31
"LCD (LED)",130,31
"LCD (LED)",145,31
"LCD (LED)",130,31
"LCD (LED)",104,31
"LCD (LED)",145,31
"LCD (LED)",152,31
"LCD (LED)",140,31
"LCD",130,31
"LCD",130,31
"LCD (LED)",130,31
"LCD (LED)",134,31
"LCD (LED)",130,31
"LCD (LED)",134,31
"LCD",130,31
"LCD",92,31
"LCD (LED)",116,31
"LCD (LED)",146,32
"LCD (LED)",109,32
"LCD (LED)",116,32
"LCD (LED)",119,32
"LCD (LED)",114,32
"LCD",127,32
"LCD (LED)",140,32
"LCD (LED)",114,32
"LCD (LED)",130,32
"LCD (LED)",104,32
"LCD (LED)",123,32
"LCD",98,32
"LCD (LED)",125,32
"LCD (LED)",138,32
"LCD (LED)",134,32
"LCD (LED)",110,32
"LCD (LED)",105,32
"LCD (LED)",99,32
"LCD (LED)",110,32
"LCD (LED)",98,32
"LCD (LED)",98,32
"LCD (LED)",120,32
"LCD (LED)",135,32
"LCD",128,32
"LCD (LED)",102,32
"LCD (LED)",132,32
"LCD (LED)",115,32
"LCD",101,32
"LCD (LED)",110,32
"LCD",99,32
"LCD",99,32
"LCD (LED)",145,32
"LCD (LED)",116,32
"LCD",101,32
"LCD (LED)",151,32
"LCD (LED)",115,32
"LCD (LED)",131,32
"LCD",103,32
"LCD (LED)",104,32
"LCD (LED)",146,32
"LCD",131,32
"LCD (LED)",110,32
"LCD",118,32
"LCD (LED)",151,32
"LCD",118,32
"LCD",118,32
"LCD (LED)",148,32
"LCD",119,32
"LCD",105,32
"LCD (LED)",110,32
"LCD",102,32
"LCD",90,32
"LCD (LED)",118,32
"LCD (LED)",123,32
"LCD",90,32
"LCD",90,32
"LCD (LED)",124,32
"LCD",89,32
"LCD (LED)",110,32
"LCD (LED)",122,32
"LCD (LED)",140,32
"LCD",102,32
"LCD",129,32
"LCD (LED)",95,32
"LCD (LED)",150,32
"LCD (LED)",110,32
"LCD (LED)",180,32
"LCD (LED)",127,32
"LCD (LED)",150,32
"LCD (LED)",118,32
"LCD (LED)",163,32
"LCD (LED)",105,32
"LCD (LED)",93,32
"LCD (LED)",131,32
"LCD",145,32
"LCD",90,32
"LCD (LED)",110,32
"LCD (LED)",130,32
"LCD (LED)",130,32
"LCD",108,32
"LCD (LED)",125,32
"LCD (LED)",125,32
"LCD",108,32
"LCD (LED)",101,32
"LCD (LED)",151,32
"LCD",89,32
"LCD",89,32
"LCD (LED)",131,32
"LCD (LED)",131,32
"LCD",131,32
"LCD (LED)",133,32
"LCD (LED)",105,32
"LCD (LED)",95,32
"LCD (LED)",145,32
"LCD (LED)",116,32
"LCD (LED)",101,32
"LCD (LED)",131,32
"LCD (LED)",125,32
"LCD (LED)",90,32
"LCD (LED)",116,32
"LCD (LED)",145,32
"LCD (LED)",125,32
"LCD (LED)",93,32
"LCD",130,32
"LCD (LED)",125,32
"LCD (LED)",130,32
"LCD",119,32
"LCD (LED)",97,32
"LCD (LED)",101,32
"LCD (LED)",102,32
"LCD (LED)",145,32
"LCD (LED)",131,32
"LCD (LED)",106,32
"LCD (LED)",102,32
"LCD (LED)",101,32
"LCD (LED)",131,32
"LCD (LED)",125,32
"LCD (LED)",131,32
"LCD (LED)",145,32
"LCD (LED)",131,32
"LCD (LED)",110,32
"LCD (LED)",116,32
"LCD",101,32
"LCD (LED)",60,32
"LCD (LED)",89,32
"LCD (LED)",100,32
"LCD (LED)",127,32
"LCD (LED)",112,32
"LCD (LED)",112,32
"LCD (LED)",60,32
"LCD (LED)",112,32
"LCD (LED)",116,32
"LCD (LED)",89,32
"LCD",131,32
"LCD (LED)",127,32
"LCD (LED)",116,32
"LCD (LED)",110,32
"LCD (LED)",100,32
"LCD (LED)",145,32
"LCD (LED)",175,34
"LCD (LED)",138,38
"LCD (LED)",148,39
"LCD",155,39
"LCD (LED)",218,39
"LCD",151,39
"LCD (LED)",149,39
"LCD",151,39
"LCD",131,39
"LCD (LED)",185,39
"LCD (LED)",141,39
"LCD (LED)",141,39
"LCD (LED)",189,39
"LCD (LED)",151,39
"LCD (LED)",148,39
"LCD (LED)",151,39
"LCD",150,39
"LCD",150,39
"LCD",149,39
"LCD",150,39
"LCD (LED)",144,39
"LCD (LED)",149,39
"LCD (LED)",180,39
"LCD (LED)",189,39
"LCD (LED)",180,39
"LCD (LED)",149,39
"LCD (LED)",148,39
"LCD",189,39
"LCD (LED)",148,39
"LCD (LED)",151,39
"LCD (LED)",140,39
"LCD (LED)",148,39
"LCD (LED)",140,39
"LCD (LED)",165,40
"LCD (LED)",135,40
"LCD (LED)",155,40
"LCD (LED)",202,40
"LCD (LED)",211,40
"LCD (LED)",175,40
"LCD (LED)",151,40
"LCD (LED)",151,40
"LCD (LED)",151,40
"LCD (LED)",122,40
"LCD (LED)",151,40
"LCD (LED)",151,40
"LCD (LED)",151,40
"LCD",252,40
"LCD",155,40
"LCD (LED)",135,40
"LCD (LED)",135,40
"LCD (LED)",151,40
"LCD",186,40
"LCD",186,40
"LCD (LED)",140,40
"LCD",175,40
"LCD",151,40
"LCD",151,40
"LCD",175,40
"LCD (LED)",175,40
"LCD (LED)",180,40
"LCD",186,40
"LCD",186,40
"LCD (LED)",121,40
"LCD (LED)",189,40
"LCD (LED)",210,40
"LCD",181,40
"LCD (LED)",158,40
"LCD (LED)",210,40
"LCD (LED)",126,40
"LCD (LED)",210,40
"LCD (LED)",183,40
"LCD (LED)",183,40
"LCD (LED)",189,40
"LCD (LED)",259,40
"LCD (LED)",144,40
"LCD (LED)",198,40
"LCD",92,40
"LCD (LED)",173,40
"LCD (LED)",151,40
"LCD (LED)",198,40
"LCD (LED)",121,40
"LCD",176,40
"LCD (LED)",166,40
"LCD (LED)",152,40
"LCD (LED)",189,40
"LCD (LED)",167,40
"LCD",186,40
"LCD (LED)",149,40
"LCD (LED)",162,40
"LCD",186,40
"LCD",230,40
"LCD",230,40
"LCD (LED)",121,40
"LCD",123,40
"LCD",150,40
"LCD (LED)",137,40
"LCD (LED)",135,40
"LCD (LED)",140,40
"LCD (LED)",152,40
"LCD (LED)",152,40
"LCD (LED)",137,40
"LCD (LED)",167,40
"LCD (LED)",165,40
"LCD (LED)",135,40
"LCD (LED)",167,40
"LCD (LED)",167,40
"LCD (LED)",155,41
"LCD (LED)",160,41
"LCD",230,41
"LCD",157,41
"LCD (LED)",159,41
"LCD (LED)",163,41
"LCD (LED)",163,41
"LCD",180,41
"LCD (LED)",205,41
"LCD (LED)",235,42
"LCD (LED)",206,42
"LCD (LED)",193,42
"LCD (LED)",170,42
"LCD",178,42
"LCD (LED)",235,42
"LCD (LED)",240,42
"LCD (LED)",188,42
"LCD (LED)",177,42
"LCD (LED)",159,42
"LCD (LED)",174,42
"OLED",232,42
"OLED",232,42
"OLED",256,42
"LCD",235,42
"LCD (LED)",216,42
"LCD (LED)",240,42
"OLED",232,42
"OLED",232,42
"LCD (LED)",206,42
"OLED",232,42
"OLED",232,42
"LCD",269,42
"LCD",176,42
"LCD",176,42
"LCD (LED)",180,42
"LCD (LED)",203,42
"LCD (LED)",197,42
"LCD",199,42
"LCD",199,42
"LCD",199,42
"OLED",232,42
"OLED",232,42
"LCD",260,42
"OLED",232,42
"OLED",223,42
"LCD",205,42
"LCD (LED)",235,42
"LCD (LED)",230,42
"LCD (LED)",240,42
"LCD (LED)",240,42
"OLED",258,42
"OLED",258,42
"LCD (LED)",229,42
"LCD (LED)",229,42
"LCD",205,42
"LCD (LED)",214,42
"LCD (LED)",208,42
"LCD (LED)",208,42
"OLED",271,42
"LCD (LED)",210,42
"LCD",150,42
"LCD (LED)",204,42
"OLED",240,42
"OLED",240,42
"LCD (LED)",248,42
"LCD (LED)",194,42
"LCD (LED)",200,42
"OLED",192,42
"LCD (LED)",188,43
"LCD (LED)",180,43
"LCD (LED)",149,43
"LCD (LED)",280,43
"LCD (LED)",280,43
"LCD (LED)",287,43
"LCD (LED)",287,43
"LCD (LED)",255,43
"LCD (LED)",291,43
"LCD (LED)",291,43
"LCD (LED)",291,43
"LCD (LED)",243,43
"LCD (LED)",339,43
"LCD (LED)",226,43
"LCD",234,43
"LCD (LED)",364,43
"LCD (LED)",255,43
"LCD (LED)",259,43
"LCD (LED)",255,43
"LCD (LED)",293,43
"LCD (LED)",240,43
"LCD (LED)",287,43
"LCD",220,43
"LCD (LED)",291,43
"LCD (LED)",269,43
"LCD (LED)",255,43
"LCD (LED)",266,43
"LCD (LED)",160,43
"LCD (LED)",237,43
"LCD (LED)",208,43
"LCD (LED)",171,43
"LCD",240,43
"LCD (LED)",255,43
"LCD (LED)",140,43
"LCD (LED)",216,43
"LCD (LED)",261,43
"LCD (LED)",194,43
"LCD",191,43
"LCD (LED)",276,43
"LCD (LED)",276,43
"LCD (LED)",284,43
"LCD (LED)",276,43
"LCD (LED)",276,43
"LCD (LED)",270,43
"LCD (LED)",364,43
"LCD (LED)",287,43
"LCD (LED)",339,43
"LCD (LED)",269,43
"LCD (LED)",302,43
"LCD (LED)",251,43
"LCD (LED)",259,43
"LCD (LED)",306,43
"LCD (LED)",286,43
"LCD (LED)",218,43
"LCD (LED)",138,43
"LCD (LED)",270,43
"LCD (LED)",214,43
"LCD (LED)",284,43
"LCD (LED)",215,43
"LCD (LED)",215,43
"LCD (LED)",162,43
"LCD (LED)",259,43
"LCD (LED)",276,43
"LCD (LED)",181,43
"LCD (LED)",170,43
"LCD",172,43
"LCD (LED)",259,43
"LCD (LED)",269,43
"LCD (LED)",269,43
"LCD (LED)",160,43
"LCD (LED)",259,43
"LCD (LED)",259,43
"LCD (LED)",269,43
"LCD (LED)",269,43
"LCD (LED)",288,43
"LCD (LED)",212,43
"LCD (LED)",220,43
"LCD (LED)",170,43
"LCD (LED)",144,43
"LCD (LED)",200,43
"LCD (LED)",269,43
"LCD (LED)",269,43
"LCD (LED)",214,43
"LCD (LED)",258,43
"LCD (LED)",302,43
"LCD (LED)",259,43
"LCD (LED)",397,43
"LCD (LED)",243,43
"LCD (LED)",259,43
"LCD (LED)",353,43
"LCD (LED)",200,43
"LCD (LED)",212,43
"LCD (LED)",159,43
"LCD (LED)",162,43
"LCD (LED)",273,43
"LCD (LED)",334,43
"LCD (LED)",221,43
"LCD (LED)",214,43
"LCD (LED)",327,43
"LCD (LED)",155,43
"LCD (LED)",178,43
"LCD (LED)",210,43
"LCD (LED)",173,43
"LCD (LED)",259,43
"LCD (LED)",134,43
"LCD (LED)",259,43
"LCD",212,43
"LCD (LED)",212,43
"LCD",196,43
"LCD (LED)",247,43
"LCD (LED)",247,43
"LCD (LED)",233,43
"LCD (LED)",236,43
"LCD (LED)",237,43
"LCD (LED)",258,43
"LCD (LED)",269,43
"LCD (LED)",269,43
"LCD (LED)",339,43
"LCD (LED)",258,43
"LCD (LED)",262,43
"LCD (LED)",214,43
"LCD (LED)",338,43
"LCD (LED)",240,43
"LCD (LED)",170,43
"LCD (LED)",247,43
"LCD (LED)",247,43
"LCD (LED)",194,43
"LCD (LED)",251,43
"LCD (LED)",291,43
"LCD (LED)",242,43
"LCD (LED)",251,43
"LCD",165,43
"LCD (LED)",229,43
"LCD (LED)",262,43
"LCD (LED)",269,43
"LCD (LED)",258,43
"LCD (LED)",137,43
"LCD (LED)",134,43
"LCD",172,43
"LCD",172,43
"LCD (LED)",159,43
"LCD (LED)",258,43
"LCD (LED)",258,43
"LCD (LED)",236,43
"LCD (LED)",236,43
"LCD (LED)",182,43
"LCD (LED)",163,43
"LCD (LED)",259,43
"LCD (LED)",170,43
"LCD (LED)",258,43
"LCD",196,43
"LCD (LED)",258,43
"LCD (LED)",229,43
"LCD (LED)",220,43
"LCD (LED)",255,43
"LCD (LED)",251,43
"LCD (LED)",242,43
"LCD",172,43
"LCD (LED)",203,43
"LCD (LED)",251,43
"LCD (LED)",251,43
"LCD (LED)",175,43
"LCD (LED)",145,43
"LCD (LED)",251,43
"LCD (LED)",212,43
"LCD (LED)",244,43
"LCD (LED)",214,43
"LCD (LED)",170,43
"LCD (LED)",269,43
"LCD (LED)",173,43
"LCD (LED)",185,43
"LCD (LED)",184,43
"LCD (LED)",194,43
"LCD (LED)",215,43
"LCD (LED)",227,43
"LCD",196,43
"LCD (LED)",240,43
"LCD (LED)",163,43
"LCD (LED)",258,43
"LCD (LED)",229,43
"LCD (LED)",258,43
"LCD (LED)",242,43
"LCD",245,46
"OLED",327,48
"OLED",327,48
"OLED",280,48
"OLED",280,48
"LCD (LED)",175,48
"OLED",280,48
"OLED",284,48
"OLED",284,48
"OLED",315,48
"OLED",285,48
"OLED",284,48
"OLED",284,48
"OLED",274,48
"OLED",276,48
"OLED",276,48
"OLED",284,48
"OLED",284,48
"OLED",289,48
"OLED",291,48
"OLED",291,48
"OLED",287,48
"LCD (LED)",295,48
"OLED",311,48
"OLED",331,48
"OLED",280,48
"OLED",280,48
"OLED",273,48
"LCD (LED)",291,48
"OLED",229,48
"OLED",229,48
"OLED",225,48
"OLED",214,48
"LCD (LED)",318,49
"LCD (LED)",315,49
"LCD (LED)",352,49
"LCD (LED)",331,49
"LCD (LED)",331,49
"LCD (LED)",295,49
"LCD (LED)",380,49
"LCD (LED)",287,49
"LCD (LED)",287,49
"LCD (LED)",342,49
"LCD (LED)",269,49
"LCD (LED)",269,49
"LCD (LED)",342,49
"LCD (LED)",262,49
"LCD (LED)",266,49
"LCD (LED)",331,49
"LCD (LED)",291,49
"LCD (LED)",353,49
"LCD (LED)",339,49
"LCD",313,49
"LCD (LED)",265,49
"LCD (LED)",397,49
"LCD (LED)",335,49
"LCD (LED)",421,49
"LCD (LED)",335,49
"LCD (LED)",470,49
"LCD (LED)",335,49
"LCD (LED)",339,49
"LCD (LED)",380,49
"LCD (LED)",284,49
"LCD (LED)",284,49
"LCD (LED)",265,49
"LCD (LED)",338,49
"LCD (LED)",349,49
"LCD (LED)",288,49
"LCD (LED)",288,49
"LCD (LED)",302,49
"LCD (LED)",287,49
"LCD (LED)",370,49
"LCD (LED)",313,49
"LCD (LED)",262,49
"LCD (LED)",287,49
"LCD (LED)",312,49
"LCD",354,49
"LCD (LED)",331,49
"LCD (LED)",331,49
"LCD (LED)",295,49
"LCD (LED)",295,49
"LCD (LED)",287,49
"LCD (LED)",331,49
"LCD (LED)",331,49
"LCD (LED)",346,49
"LCD (LED)",412,49
"LCD (LED)",353,49
"LCD (LED)",342,49
"LCD",226,49
"LCD (LED)",276,49
"LCD (LED)",342,49
"LCD (LED)",507,49
"LCD (LED)",291,49
"LCD (LED)",295,49
"LCD (LED)",331,49
"LCD (LED)",278,49
"LCD (LED)",347,49
"LCD (LED)",284,49
"LCD (LED)",307,49
"LCD",354,49
"LCD",220,49
"LCD",220,49
"LCD (LED)",265,49
"LCD (LED)",329,49
"LCD (LED)",346,49
"LCD (LED)",248,49
"LCD (LED)",342,49
"LCD (LED)",270,49
"LCD (LED)",310,49
"LCD (LED)",284,49
"LCD (LED)",287,49
"LCD (LED)",295,49
"LCD (LED)",269,49
"LCD (LED)",220,49
"LCD",376,49
"LCD (LED)",331,49
"LCD",225,49
"LCD",253,49
"LCD (LED)",277,49
"LCD",225,49
"LCD (LED)",382,49
"LCD",225,49
"LCD (LED)",312,49
"LCD",225,49
"LCD (LED)",280,49
"LCD (LED)",295,49
"LCD (LED)",295,49
"LCD (LED)",346,49
"LCD (LED)",287,49
"LCD (LED)",287,49
"LCD (LED)",190,49
"LCD (LED)",287,49
"LCD (LED)",287,49
"LCD (LED)",348,49
"LCD (LED)",277,49
"LCD (LED)",329,49
"LCD (LED)",400,49
"LCD (LED)",212,49
"LCD (LED)",287,49
"LCD (LED)",287,49
"LCD",225,49
"LCD",376,49
"LCD (LED)",265,49
"LCD (LED)",251,49
"LCD (LED)",251,49
"LCD (LED)",295,49
"LCD (LED)",280,49
"LCD (LED)",276,49
"LCD (LED)",167,49
"LCD (LED)",276,49
"LCD (LED)",204,49
"LCD (LED)",276,49
"LCD (LED)",269,49
"LCD",376,49
"LCD (LED)",390,49
"LCD",246,49
"LCD (LED)",220,49
"LCD (LED)",295,49
"LCD",413,49
"LCD (LED)",149,49
"LCD (LED)",295,49
"LCD (LED)",310,49
"LCD",407,49
"LCD (LED)",265,49
"LCD (LED)",396,49
"LCD (LED)",251,49
"LCD (LED)",244,49
"LCD (LED)",299,49
"LCD (LED)",305,49
"LCD (LED)",305,49
"LCD (LED)",305,49
"LCD (LED)",295,49
"LCD (LED)",295,49
"LCD (LED)",302,49
"LCD (LED)",343,49
"LCD (LED)",331,49
"LCD (LED)",270,49
"LCD (LED)",262,49
"LCD",376,49
"LCD (LED)",300,49
"LCD (LED)",200,49
"LCD (LED)",390,49
"LCD (LED)",251,49
"LCD (LED)",210,49
"LCD (LED)",262,49
"LCD (LED)",284,49
"LCD (LED)",343,49
"LCD (LED)",306,49
"LCD (LED)",305,49
"LCD (LED)",305,49
"LCD (LED)",149,49
"LCD (LED)",335,49
"LCD (LED)",251,49
"LCD (LED)",251,49
"LCD (LED)",305,49
"LCD (LED)",305,49
"LCD (LED)",251,49
"LCD (LED)",298,49
"LCD (LED)",353,49
"LCD",376,49
"LCD",376,49
"LCD (LED)",305,49
"LCD (LED)",245,49
"LCD (LED)",277,49
"LCD (LED)",339,49
"LCD (LED)",284,49
"LCD (LED)",297,49
"LCD (LED)",251,49
"LCD (LED)",291,49
"LCD (LED)",262,49
"LCD (LED)",205,49
"LCD (LED)",247,49
"LCD (LED)",262,49
"LCD (LED)",220,49
"LCD (LED)",270,49
"LCD (LED)",196,49
"LCD (LED)",222,49
"LCD (LED)",255,49
"LCD (LED)",230,49
"LCD (LED)",244,49
"LCD (LED)",251,49
"LCD (LED)",305,49
"LCD (LED)",200,49
"LCD (LED)",230,49
"LCD (LED)",297,49
"LCD (LED)",284,50
"LCD",220,50
"LCD (LED)",276,50
"LCD (LED)",290,50
"LCD (LED)",260,50
"LCD",311,50
"LCD (LED)",254,50
"LCD (LED)",256,50
"LCD (LED)",280,50
"LCD (LED)",380,50
"LCD (LED)",380,50
"LCD (LED)",279,50
"LCD (LED)",345,50
"LCD (LED)",225,50
"LCD (LED)",284,50
"LCD (LED)",376,50
"LCD (LED)",253,50
"LCD (LED)",259,50
"LCD (LED)",210,50
"LCD (LED)",172,50
"LCD",203,50
"LCD (LED)",202,50
"LCD (LED)",210,50
"LCD (LED)",210,50
"LCD (LED)",353,50
"LCD (LED)",202,50
"LCD (LED)",210,50
"LCD (LED)",254,50
"LCD (LED)",269,50
"LCD (LED)",210,50
"LCD (LED)",280,50
"LCD (LED)",318,50
"LCD",374,50
"LCD (LED)",345,50
"LCD",267,50
"LCD (LED)",328,50
"LCD (LED)",343,50
"LCD",333,50
"LCD (LED)",330,50
"LCD",315,50
"LCD (LED)",269,50
"LCD (LED)",305,50
"LCD (LED)",330,50
"LCD (LED)",285,50
"LCD (LED)",285,50
"LCD (LED)",400,50
"LCD (LED)",460,50
"LCD (LED)",415,50
"LCD (LED)",210,50
"LCD (LED)",398,50
"LCD (LED)",381,50
"LCD (LED)",210,50
"LCD (LED)",317,50
"LCD (LED)",210,50
"LCD (LED)",306,50
"LCD (LED)",398,50
"LCD (LED)",400,50
"LCD (LED)",254,50
"LCD (LED)",370,50
"LCD (LED)",211,50
"LCD (LED)",227,50
"LCD",315,50
"LCD (LED)",395,50
"LCD (LED)",236,50
"LCD (LED)",317,50
"OLED",276,50
"LCD (LED)",400,50
"LCD (LED)",227,50
"LCD (LED)",386,50
"LCD (LED)",327,50
"LCD (LED)",250,50
"LCD (LED)",284,50
"LCD (LED)",284,50
"LCD (LED)",270,50
"LCD (LED)",375,50
"LCD (LED)",210,50
"LCD (LED)",224,50
"LCD (LED)",321,50
"LCD (LED)",224,50
"LCD (LED)",217,50
"LCD (LED)",368,50
"LCD (LED)",284,50
"LCD (LED)",239,50
"LCD (LED)",224,50
"LCD (LED)",285,50
"LCD (LED)",265,50
"LCD (LED)",221,50
"LCD (LED)",228,50
"LCD (LED)",295,50
"LCD (LED)",422,50
"LCD (LED)",349,50
"LCD",375,54
"LCD",254,54
"LCD",270,54
"LCD",270,54
"LCD",270,54
"LCD (LED)",378,55
"LCD (LED)",270,55
"LCD (LED)",370,55
"LCD (LED)",441,55
"LCD (LED)",260,55
"LCD (LED)",330,55
"OLED",654,55
"LCD (LED)",350,55
"LCD (LED)",260,55
"LCD (LED)",475,55
"LCD (LED)",267,55
"LCD (LED)",346,55
"LCD (LED)",346,55
"LCD (LED)",415,55
"LCD (LED)",357,55
"LCD (LED)",357,55
"OLED",389,55
"OLED",400,55
"OLED",400,55
"LCD",320,55
"LCD (LED)",370,55
"OLED",408,55
"OLED",408,55
"LCD (LED)",422,55
"LCD (LED)",335,55
"LCD (LED)",335,55
"LCD (LED)",411,55
"LCD (LED)",411,55
"LCD (LED)",422,55
"LCD (LED)",319,55
"LCD (LED)",411,55
"LCD (LED)",565,55
"LCD (LED)",503,55
"LCD (LED)",412,55
"OLED",342,55
"OLED",342,55
"LCD (LED)",267,55
"LCD (LED)",485,55
"LCD (LED)",543,55
"LCD (LED)",310,55
"LCD",294,55
"LCD (LED)",454,55
"LCD (LED)",487,55
"OLED",389,55
"LCD (LED)",313,55
"LCD (LED)",412,55
"LCD (LED)",320,55
"LCD (LED)",310,55
"LCD (LED)",408,55
"LCD (LED)",330,55
"LCD (LED)",440,55
"LCD (LED)",304,55
"OLED",829,55
"LCD (LED)",380,55
"LCD (LED)",303,55
"LCD (LED)",238,55
"LCD (LED)",468,55
"LCD (LED)",349,55
"LCD (LED)",422,55
"LCD (LED)",273,55
"LCD (LED)",320,55
"LCD (LED)",415,55
"LCD (LED)",339,55
"LCD (LED)",404,55
"LCD (LED)",726,55
"LCD (LED)",310,55
"LCD (LED)",537,55
"LCD (LED)",324,55
"LCD",430,55
"LCD (LED)",340,55
"OLED",424,55
"LCD (LED)",404,55
"LCD (LED)",202,55
"LCD (LED)",514,55
"LCD (LED)",312,55
"LCD (LED)",426,55
"LCD (LED)",295,55
"LCD (LED)",347,55
"LCD (LED)",426,55
"LCD (LED)",286,55
"LCD (LED)",423,55
"LCD (LED)",514,55
"LCD",415,55
"LCD (LED)",596,55
"LCD (LED)",335,55
"LCD (LED)",284,55
"LCD (LED)",381,55
"LCD (LED)",362,55
"LCD (LED)",371,55
"LCD",400,55
"LCD (LED)",247,55
"LCD (LED)",214,55
"LCD (LED)",422,55
"OLED",316,55
"OLED",316,55
"OLED",375,55
"OLED",349,55
"OLED",349,55
"LCD (LED)",419,55
"LCD (LED)",419,55
"LCD (LED)",346,55
"LCD (LED)",346,55
"LCD (LED)",360,55
"LCD (LED)",419,55
"LCD (LED)",423,55
"LCD (LED)",357,55
"LCD (LED)",419,55
"LCD (LED)",419,55
"LCD (LED)",416,55
"LCD",422,55
"LCD",422,55
"OLED",349,55
"OLED",349,55
"LCD (LED)",594,55
"LCD (LED)",514,55
"LCD (LED)",499,55
"LCD",321,55
"LCD",455,55
"LCD",455,55
"LCD (LED)",376,55
"LCD (LED)",467,55
"LCD (LED)",635,55
"LCD (LED)",817,55
"LCD (LED)",426,55
"OLED",387,55
"LCD (LED)",419,55
"LCD (LED)",580,55
"LCD (LED)",317,55
"LCD (LED)",471,55
"LCD (LED)",321,55
"LCD (LED)",285,55
"LCD (LED)",299,55
"LCD",256,55
"LCD (LED)",225,55
"LCD (LED)",360,55
"LCD (LED)",422,55
"LCD",385,55
"LCD (LED)",504,55
"LCD (LED)",320,55
"LCD (LED)",375,55
"LCD (LED)",375,55
"LCD (LED)",247,55
"LCD (LED)",320,55
"LCD (LED)",320,55
"LCD (LED)",587,55
"LCD (LED)",521,55
"LCD (LED)",349,55
"LCD (LED)",415,55
"OLED",354,55
"OLED",351,55
"OLED",395,55
"LCD",305,55
"LCD (LED)",424,55
"LCD",380,55
"LCD",380,55
"LCD (LED)",416,55
"LCD (LED)",381,55
"LCD (LED)",269,55
"LCD (LED)",293,55
"LCD (LED)",419,55
"OLED",349,55
"OLED",349,55
"LCD (LED)",330,55
"LCD (LED)",590,55
"LCD (LED)",295,55
"LCD (LED)",335,55
"LCD (LED)",380,55
"LCD (LED)",321,55
"LCD (LED)",380,55
